Date,Open,High,Low,Close,Adj Close,Volume
2020-01-09,18.430000,18.635000,18.219999,18.370001,18.370001,3507000
2020-01-10,18.010000,18.059999,17.555000,17.820000,17.820000,5614800
2020-01-13,17.969999,18.040001,17.809999,17.860001,17.860001,2415300
2020-01-14,17.860001,18.059999,17.770000,18.004999,18.004999,2262700
2020-01-15,18.030001,18.860001,17.950001,18.309999,18.309999,5214700
2020-01-16,18.490000,18.570000,17.924999,18.000000,18.000000,3353200
2020-01-17,18.070000,18.195000,17.850000,18.020000,18.020000,2774200
2020-01-21,17.969999,17.990000,17.520000,17.639999,17.639999,3743000
2020-01-22,17.690001,17.940001,17.500000,17.530001,17.530001,2477100
2020-01-23,17.540001,17.740000,17.184999,17.709999,17.709999,3266900
2020-01-24,17.600000,17.985001,17.190001,17.340000,17.340000,3441300
2020-01-27,17.059999,17.129999,16.820000,16.950001,16.950001,4195700
2020-01-28,17.070000,17.219999,16.860001,17.139999,17.139999,2615200
2020-01-29,17.180000,17.370001,16.930000,16.950001,16.950001,2654700
2020-01-30,16.840000,17.040001,16.770000,17.010000,17.010000,2631700
2020-01-31,17.139999,17.230000,16.629999,17.020000,17.020000,5366500
2020-02-03,17.010000,17.090000,16.730000,16.910000,16.910000,3341800
2020-02-04,17.139999,17.330000,17.020000,17.100000,17.100000,6108400
2020-02-05,17.200001,17.850000,17.200001,17.610001,17.610001,8241300
2020-02-06,17.670000,18.680000,17.200001,18.260000,18.260000,11325500
2020-02-07,18.100000,18.230000,17.969999,18.100000,18.100000,4624800
2020-02-10,17.920000,18.590000,17.860001,18.530001,18.530001,5747000
2020-02-11,18.530001,18.684999,18.389999,18.600000,18.600000,4168300
2020-02-12,18.730000,18.736000,18.299999,18.570000,18.570000,3910700
2020-02-13,18.500000,18.760000,18.450001,18.610001,18.610001,3757000
2020-02-14,18.600000,18.650000,18.410000,18.530001,18.530001,4036000
2020-02-18,18.580000,18.650000,18.240000,18.389999,18.389999,5152000
2020-02-19,18.370001,18.549999,18.190001,18.320000,18.320000,4445500
2020-02-20,18.280001,18.799999,18.090000,18.715000,18.715000,13450400
2020-02-21,21.990000,23.730000,21.879999,22.450001,22.450001,48249100
2020-02-24,20.610001,22.084999,20.340000,21.760000,21.760000,14663700
2020-02-25,21.820000,21.900000,20.430000,20.639999,20.639999,8500400
2020-02-26,20.520000,20.969999,19.725000,19.879999,19.879999,5432900
2020-02-27,19.150000,20.020000,19.115000,19.330000,19.330000,6090600
2020-02-28,18.770000,19.620001,18.690001,19.559999,19.559999,8088500
2020-03-02,19.850000,19.874001,18.790001,19.290001,19.290001,6871100
2020-03-03,19.290001,20.040001,19.100000,19.315001,19.315001,4300300
2020-03-04,19.520000,19.820000,19.180000,19.799999,19.799999,3495000
2020-03-05,19.270000,19.620001,19.195000,19.340000,19.340000,3494000
2020-03-06,18.860001,19.850000,18.799999,19.410000,19.410000,5586300
2020-03-09,18.459999,18.459999,17.629999,17.670000,17.670000,5677500
2020-03-10,18.200001,18.350000,16.750000,17.389999,17.389999,5138300
2020-03-11,16.910000,17.038000,15.850000,16.160000,16.160000,7459100
2020-03-12,14.660000,16.830000,14.550000,15.690000,15.690000,12611500
2020-03-13,16.650000,18.360001,15.760000,18.350000,18.350000,10874000
2020-03-16,16.110001,17.128000,15.810000,16.080000,16.080000,7316500
2020-03-17,16.260000,16.889999,14.800000,16.809999,16.809999,5713400
2020-03-18,15.830000,17.165001,14.960000,16.520000,16.520000,4886500
2020-03-19,16.299999,18.450001,16.200001,17.820000,17.820000,4158000
2020-03-20,18.000000,18.820000,17.219999,17.590000,17.590000,6393500
2020-03-23,17.750000,17.799999,16.121000,17.110001,17.110001,6406800
2020-03-24,17.820000,18.920000,17.584999,18.799999,18.799999,5616500
2020-03-25,18.650000,19.059999,18.160000,18.410000,18.410000,4506700
2020-03-26,17.820000,19.309999,17.709999,18.920000,18.920000,7321900
2020-03-27,18.110001,18.410000,17.480000,17.750000,17.750000,4748500
2020-03-30,18.100000,18.504999,17.860001,18.150000,18.150000,4559700
2020-03-31,18.209999,18.870001,17.889999,18.100000,18.100000,4376500
2020-04-01,17.510000,18.230000,17.350000,17.879999,17.879999,4085500
2020-04-02,17.700001,18.549999,17.680000,18.230000,18.230000,3893200
2020-04-03,18.129999,18.639999,17.820000,17.959999,17.959999,4820900
2020-04-06,18.440001,18.780001,17.900000,18.059999,18.059999,6676500
2020-04-07,18.280001,18.330000,17.320000,17.700001,17.700001,6596400
2020-04-08,18.000000,18.544001,17.850000,18.290001,18.290001,4430100
2020-04-09,18.500000,18.950001,17.870001,18.059999,18.059999,4776800
2020-04-13,18.200001,18.600000,17.910000,18.530001,18.530001,2964900
2020-04-14,18.629999,19.084999,18.629999,19.000000,19.000000,3225000
2020-04-15,18.590000,19.240000,18.503000,18.950001,18.950001,2815000
2020-04-16,19.080000,19.230000,18.420000,18.735001,18.735001,3315100
2020-04-17,19.000000,19.290001,18.770000,19.180000,19.180000,4692800
2020-04-20,19.180000,20.389999,19.150000,20.340000,20.340000,8733900
2020-04-21,20.330000,20.690001,19.379999,19.660000,19.660000,5548300
2020-04-22,19.969999,20.170000,19.670000,19.969999,19.969999,2853100
2020-04-23,20.010000,20.150000,19.740000,19.834999,19.834999,3055500
2020-04-24,20.000000,20.240000,19.879999,20.205000,20.205000,2976100
2020-04-27,20.500000,20.995001,20.219999,20.799999,20.799999,3878400
2020-04-28,21.000000,21.160000,20.465000,20.549999,20.549999,4118600
2020-04-29,20.629999,21.240000,20.549999,20.980000,20.980000,3675700
2020-04-30,20.920000,21.129999,20.610001,21.020000,21.020000,3693200
2020-05-01,20.510000,20.730000,19.500000,19.600000,19.600000,3962000
2020-05-04,19.549999,19.940001,19.309999,19.879999,19.879999,3052300
2020-05-05,20.340000,20.438000,19.975000,20.035000,20.035000,2515100
2020-05-06,20.209999,20.389000,19.889999,20.344999,20.344999,3546400
2020-05-07,21.010000,21.940001,20.740000,21.889999,21.889999,15490200
2020-05-08,22.450001,23.020000,21.260000,21.879999,21.879999,14588300
2020-05-11,21.530001,23.030001,21.510000,22.940001,22.940001,12135200
2020-05-12,22.870001,23.000000,22.090000,22.129999,22.129999,8023400
2020-05-13,22.080000,22.260000,21.170000,21.520000,21.520000,5317900
2020-05-14,21.150000,21.500000,20.809999,21.500000,21.500000,4943100
2020-05-15,21.629999,22.400000,21.469999,22.370001,22.370001,10768700
2020-05-18,22.440001,22.450001,21.549999,21.590000,21.590000,7248600
2020-05-19,21.639999,22.080000,21.430000,21.750000,21.750000,3652800
2020-05-20,21.870001,22.351000,21.850000,22.225000,22.225000,7977300
2020-05-21,22.250000,22.410000,21.879999,22.129999,22.129999,6140500
2020-05-22,22.350000,22.350000,21.605000,21.665001,21.665001,11759300
2020-05-26,22.500000,22.950001,22.250000,22.900000,22.900000,10814800
2020-05-27,22.900000,22.910000,21.709999,22.809999,22.809999,7770800
2020-05-28,22.750000,23.219999,22.500000,22.590000,22.590000,9170200
2020-05-29,22.610001,22.750000,21.950001,22.570000,22.570000,8407900
2020-06-01,22.690001,23.620001,22.320000,23.540001,23.540001,8170400
2020-06-02,23.549999,23.639999,22.610001,23.270000,23.270000,6439000
2020-06-03,23.270000,23.600000,22.799999,23.549999,23.549999,7266400
2020-06-04,23.540001,23.820000,22.865000,23.280001,23.280001,6102200
